"","C10%-n150 SD","C10%-n150 SE","C10%-n300 SD","C10%-n300 SE","C10%-n600 SD","C10%-n600 SE","C10%-n900 SD","C10%-n900 SE","C20%-n150 SD","C20%-n150 SE","C20%-n300 SD","C20%-n300 SE","C20%-n600 SD","C20%-n600 SE","C20%-n900 SD","C20%-n900 SE"
"beta2 2 ",0.339025692921854,0.248999160447538,0.222516330701244,0.185652780737129,0.136763356256501,0.131550890554728,0.100656171952508,0.108786640974849,0.340666859594168,0.247963512415258,0.229447342260251,0.184495554288763,0.134384308688878,0.131748521006755,0.104544263819985,0.10898289321516
"sig11 2 ",0.574360132178235,0.530624336113929,0.382628896538092,0.343748645128466,0.252238358272859,0.264214346157641,0.179779210775828,0.213278302710726,0.527323606884693,0.5361586984295,0.411996566222102,0.334400441029742,0.260627185683141,0.268609055621902,0.190444235082237,0.214236383139319
"sig21 2 ",0.366164419452252,0.26690949962786,0.2161798816312,0.19835192742464,0.146523696772778,0.136801710557137,0.13717267406552,0.120535457851544,0.332358363170676,0.276185860194394,0.229190224769914,0.192789793990234,0.146504333822729,0.136740635761089,0.138640575447844,0.11753457548505
"sig22 2 ",0.505420999566725,0.472206651917076,0.300450597730813,0.322130901369268,0.216752031927106,0.220924330583886,0.176916958478033,0.184160865343811,0.426311898735189,0.466044452222943,0.304776681639779,0.332713155274749,0.21723649183225,0.222555450105865,0.182045726998177,0.183909667537561
"nu 2 ",0.146343732178831,0.276958281564497,0.124608955657502,0.185700348351045,0.0973880723321014,0.136453327927754,0.0689712868462551,0.100227012882846,0.149072780178516,0.281770978255691,0.129034997422961,0.197705942387784,0.0983270332119922,0.138404056478049,0.0766761521385196,0.101667063381905
"rho 2 ",0.1455459995761,0.173417259397354,0.0888609702635828,0.113555266427479,0.058616613737818,0.0767018651310422,0.0427757374402652,0.057419996548695,0.143523908371748,0.195543773322117,0.0928212924868043,0.115805260984039,0.0661183495444658,0.081851309405384,0.0428386525208533,0.0620541615099817
"beta1 3 ",0.491218863572908,0.388208126821128,0.395374323039826,0.307093608838844,0.309588987456046,0.231109769274196,0.191918158966612,0.183337372431168,0.512103079399029,0.371605425071101,0.421503406184513,0.307547335814022,0.303659467471881,0.233736841381081,0.196343795861972,0.184828961607819
"beta2 3 ",0.248536526077206,0.195640804900907,0.172889496603648,0.146026451767057,0.124589691679345,0.106575533871012,0.0910001320533915,0.0851107825345625,0.284948873935212,0.198746950393939,0.179111197478854,0.14472619062805,0.124385716419023,0.108144316545937,0.0923595947523433,0.0856298376486036
"sig11 3 ",0.563941897992836,0.460525361317756,0.391562491895175,0.412182895345505,0.29698430761421,0.303788017608291,0.213009895670143,0.224251253892055,0.701502403987341,0.4889378565572,0.432661722649371,0.408070754993944,0.30434044790043,0.309548901689358,0.224878764116719,0.226655657074242
"sig21 3 ",0.455376247167292,0.340657767400006,0.281996176387106,0.274433794952271,0.200179330911441,0.197945607676373,0.147003215989922,0.140868707577963,0.56645219028198,0.368582226149809,0.288711795869871,0.269303066998316,0.206722809262855,0.196640766987867,0.155735965868041,0.144228744510683
"sig22 3 ",0.504086361136011,0.481545686908018,0.38648982858551,0.384014352097107,0.238278347756199,0.267341517813207,0.194120438075757,0.199698120723086,0.586732655519488,0.559054336613165,0.360838258566665,0.393239898216164,0.253401612148818,0.27032607854191,0.207227020149097,0.204343884249343
"nu 3 ",0.151904256303616,0.315248280624422,0.133254353263424,0.190092033261209,0.0920768431461379,0.133847934238867,0.0729596098928689,0.0985894141453389,0.150402021584722,0.388340656605205,0.137697080822788,0.205372665724174,0.0908238457261143,0.134696385206326,0.0774275724234819,0.113776091803222
"rho 3 ",0.215129923703345,0.26453346917392,0.155638265543184,0.187166157548701,0.103760597489723,0.126468687360725,0.0538943491338356,0.0859835604427465,0.259399528640068,0.249418976725149,0.156289518977063,0.163849644548593,0.130256263507539,0.1327476347027,0.0592766280012872,0.0932554399589922
