"","C10%-n150 SD","C10%-n150 SE","C10%-n300 SD","C10%-n300 SE","C10%-n600 SD","C10%-n600 SE","C10%-n900 SD","C10%-n900 SE","C20%-n150 SD","C20%-n150 SE","C20%-n300 SD","C20%-n300 SE","C20%-n600 SD","C20%-n600 SE","C20%-n900 SD","C20%-n900 SE"
"w 1 ",0.0398296493215847,0.0522462620072671,0.0268095053394903,0.0355121956543933,0.0185076594755637,0.024464406190144,0.0146102337142506,0.0198928145472394,0.0397688025622476,0.0519762022557936,0.0272298929488706,0.0354270436778565,0.0184236359243777,0.0246121063822898,0.0150684980747747,0.0198277602030953
"beta1 1 ",0.386684021278712,0.380482683459969,0.293353782395372,0.26952142781199,0.182113606482703,0.194636852934517,0.15216488646256,0.157548880007921,0.419500385710045,0.435573176491373,0.349484468091553,0.316312922855115,0.185915464228806,0.226099106812395,0.193903862187072,0.186290225766498
"beta2 1 ",0.240620434051404,0.238783494435841,0.188449815885088,0.170863373890451,0.110660650739052,0.121182382321822,0.0915930601920679,0.0998844932790434,0.269039649827852,0.280956255003269,0.229361681644016,0.204920639036414,0.118632443642111,0.146872296650645,0.12424643174985,0.120106203273368
"sig11 1 ",0.4749978845305,0.937189331240938,0.280497378593673,0.405329114120681,0.203022976577751,0.271254766491321,0.18373881047433,0.241732945088268,0.570546377381589,0.844203567306783,0.32692558360264,0.576643022086605,0.223895608593433,0.388830026113851,0.205096112027523,0.321324362108472
"sig21 1 ",0.173679686930258,0.227748059369873,0.131207967103629,0.142525322333494,0.0890758895925215,0.0948258880198808,0.075056182344084,0.0771887449780623,0.16957325342687,0.247330421114936,0.135004389751118,0.166014982644047,0.0885688731230133,0.0998266166018162,0.084706443757598,0.0892620593664526
"sig22 1 ",0.414774906601506,0.77271140426876,0.32825512773028,0.419604192251594,0.213514784110791,0.289841923014586,0.177532918547985,0.227010737465492,0.521171127601218,0.971469514222279,0.401545401228932,0.687000056684043,0.260987359680706,0.432171848122742,0.220202908429833,0.349454248862878
"nu 1 ",0.144771290941678,0.903427761360552,0.122092664805781,0.292262298265873,0.105605149440353,0.185032938061156,0.0875876861473055,0.155105888348161,0.192547951536524,0.484277923065788,0.163934096440343,0.380234812179449,0.123708216778275,0.238690412904427,0.119661773299913,0.212182860793427
"rho 1 ",0.32010508405686,0.438403747758493,0.261673185539195,0.214567830176265,0.11395736784807,0.0995304743989347,0.0996394727937296,0.0839117464072681,0.301713165909031,0.261648065181788,0.25502490003147,0.175888616612495,0.107272693136466,0.0987111075726116,0.0939191599118337,0.0849258477010478
"w 2 ",0.0768660992378904,0.0720396619682918,0.0620672131044492,0.054040690170751,0.0440448039457016,0.0395856333353767,0.0304534337730765,0.032260739756209,0.0832002910415779,0.0719587781464921,0.0682023767770778,0.0546503050599896,0.0422410125351523,0.0399230532357403,0.0319265580401072,0.0323229708085372
"beta1 2 ",0.648715403681181,0.449698441237993,0.436927774983047,0.352678036885468,0.270024557792126,0.257092469605044,0.199071785104163,0.215890214242687,0.698386060198492,0.450522868609427,0.460341466136491,0.352329655296133,0.26440009109703,0.257122596071373,0.210039369453204,0.214484222998224
