"","MNCR-g1","MTCR-g1","MCNCR-g1","MNCR-g2","MTCR-g2","MCNCR-g2","MNCR-g3","MTCR-g3","MCNCR-g3"
"m",22,23,24,45,47,49,68,71,74
"loglik",-5160.97224719336,-4856.96462886731,-4850.08782391629,-4254.33402326573,-4130.37482698563,-4067.57556790693,-4042.07532509565,-4024.31190822725,-4011.92869935601
"AIC",10365.9444943867,9759.92925773462,9748.17564783259,8598.66804653147,8354.74965397126,8233.15113581386,8220.1506501913,8190.62381645451,8171.85739871203
"BIC",10467.6739293983,9866.28275797402,9859.15321329978,8806.75098178246,8572.08071967786,8459.73033197605,8534.58708568169,8518.9324476283,8514.03822556922
"CPU(sec)",1.94000000000005,33.8700000000001,11.03,26.99,227.32,42.61,119.2,1048.53,166.37
