"","FM-MNC","FM-MTC","FM-MCNC"
"m",29,31,33
"loglik",-1412.83834855629,-948.6550817735,-1007.53446993201
"AIC",2883.67669711258,1959.310163547,2081.06893986401
"BIC",3002.19316419304,2086.00018008128,2215.93250585212
"CPU(sec)",2,16.38,13.58
"CCR",0.727272727272727,0.786363636363636,0.820454545454545
"ARI",0.166707445965368,0.326668660884163,0.409405597583317
